"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"1721208";"Tocantinópolis (TO)";"372641,87"
"1721257";"Tupirama (TO)";"118838,58"
"1721307";"Tupiratins (TO)";"38618,57"
"1722081";"Wanderlândia (TO)";"183424,38"
"1722107";"Xambioá (TO)";"471019,83"
"2100055";"Açailândia (MA)";"3828780,05"
"2100105";"Afonso Cunha (MA)";"85067,79"
"2100154";"Água Doce do Maranhão (MA)";"101671,66"
"2100204";"Alcântara (MA)";"148797,44"
"2100303";"Aldeias Altas (MA)";"249449,98"
"2100402";"Altamira do Maranhão (MA)";"71525,56"
"2100436";"Alto Alegre do Maranhão (MA)";"303156,31"
"2100477";"Alto Alegre do Pindaré (MA)";"251785,50"
"2100501";"Alto Parnaíba (MA)";"578991,39"
"2100550";"Amapá do Maranhão (MA)";"70213,30"
"2100600";"Amarante do Maranhão (MA)";"388693,19"
"2100709";"Anajatuba (MA)";"207642,87"
"2100808";"Anapurus (MA)";"149133,24"
"2100832";"Apicum-Açu (MA)";"133978,87"
"2100873";"Araguanã (MA)";"101753,94"
"2100907";"Araioses (MA)";"282823,23"
"2100956";"Arame (MA)";"290362,26"
"2101004";"Arari (MA)";"313303,33"
"2101103";"Axixá (MA)";"97443,40"
"2101202";"Bacabal (MA)";"1514710,75"
"2101251";"Bacabeira (MA)";"599322,05"
"2101301";"Bacuri (MA)";"122905,64"
"2101350";"Bacurituba (MA)";"39600,41"
"2101400";"Balsas (MA)";"6307609,56"
"2101509";"Barão de Grajaú (MA)";"268565,09"
"2101608";"Barra do Corda (MA)";"889326,75"
"2101707";"Barreirinhas (MA)";"635796,21"
"2101731";"Belágua (MA)";"60733,81"
"2101772";"Bela Vista do Maranhão (MA)";"107575,32"
"2101806";"Benedito Leite (MA)";"73162,11"
"2101905";"Bequimão (MA)";"138139,79"
"2101939";"Bernardo do Mearim (MA)";"105126,33"
"2101970";"Boa Vista do Gurupi (MA)";"67553,61"
"2102002";"Bom Jardim (MA)";"411429,90"
"2102036";"Bom Jesus das Selvas (MA)";"375735,78"
